id,title,date,content
0,orthogrid,2019-07-04,<img src="../images/orthogrid.jpg">
1,erosion,2019-12-08,<img src="../images/erosion.png">
2,featureExtraction,2020-01-02,<img src="../images/featureExtraction.png">
3,nnModel,2020-01-23,<iframe src="https://player.vimeo.com/video/571405530" width="960" height="540" frameborder="0" allowfullscreen></iframe>
4,pilotPDG,2020-02-07,<img src="../images/PDG.png">
5,meanRGB,2020-02-09,<img src="../images/meanRGB.png">
6,xRes,2020-10-21,<img src="../images/xRes.png">
7,aggregation,2021-01-11,<iframe src="https://player.vimeo.com/video/634689187" width="960" height="540" frameborder="0" allowfullscreen></iframe>
8,agentTurntable,2021-06-09,<iframe src="https://player.vimeo.com/video/644561421" width="960" height="540" frameborder="0" allowfullscreen></iframe>
9,styleGAN,2021-06-28,<iframe src="https://player.vimeo.com/video/649034304" width="960" height="540" frameborder="0" allowfullscreen></iframe>
10,latentWalk,2021-07-04,<iframe src="https://player.vimeo.com/video/649224539" width="960" height="540" frameborder="0" allowfullscreen></iframe>
11,atariRL,2021-09-09,<iframe src="https://player.vimeo.com/video/649229501" width="960" height="540" frameborder="0" allowfullscreen></iframe>
12,timelapseXPU,2021-11-14,<iframe src="https://player.vimeo.com/video/649233169" width="960" height="540" frameborder="0" allowfullscreen></iframe>
13,doomRL,2021-11-23,<iframe src="https://player.vimeo.com/video/649624495" width="960" height="540" frameborder="0" allowfullscreen></iframe>
14,agentPromo,2021-12-05,<img src="../images/agent.png">
15,codon,2021-11-19,<img src="../images/computeGenome.png">
16,dotMatrix,2022-06-11,<img src="../images/dotMatrix.png">
17,gates,2022-08-26,<img src="../images/gatesMethod.png">
18,gabor,2023-06-11,<img src="../images/gabor.png">
19,izhikevich01,2023-04-09,<img src="../images/izhikevich01.png">
20,izhikevich02,2023-04-09,<img src="../images/izhikevich02.png">
21,izhikevich03,2023-04-09,<img src="../images/izhikevich03.png">
22,firstOrder,2023-04-28,<img src="../images/firstOrder.png">
23,clusters,2023-05-01,<img src="../images/spectral.png">
24,phase,2023-06-01,<img src="../images/phase.png">
25,modes,2023-06-11,<img src="../images/modes.png">
26,afferent01,2023-06-14,<img src="../images/afferent01.png">
27,afferent02,2023-06-14,<img src="../images/afferent02.png">
28,adjacency,2023-06-15,<img src="../images/adjacency.png">
29,weights,2023-06-15,<img src="../images/weights.png">
30,activityPattern01,2023-06-15,<img src="../images/activityPattern01.png">
31,activityPattern02,2023-06-20,<img src="../images/activityPattern02.gif">
32,sigmaA,2023-06-20,<img src="../images/sigmaA.png">
33,sigmaX,2023-06-20,<img src="../images/sigmaX.png">
34,patternOverlap01,2023-06-20,<img src="../images/patternOverlap01.png">
35,patternOverlap02,2023-06-20,<img src="../images/patternOverlap02.gif">
36,witness,2024-06-01,<img src="https://github.com/epochlab/WITNESS/blob/main/docs/sample.png?raw=true">
37,playhouse,2023-08-19,<img src="https://github.com/epochlab/PLAYHOUSE/blob/main/docs/sample.png?raw=true">
